stars,comment
5.0 out of 5 stars,"









  
  
    
  I've grown up mostly a Playstation gamer...ps1 to ps4. I had and enjoyed xbox 360 but PS was my go to.  That all changed when I bought the xbox one x and tried gamepass. What a game changer that combo was for me quite literally. The one x played 3rd party games better than the competition and gamepass was an incredible value. Backward compatibility was the bonus. I loved it.Series X continues that power and value proposition without the mistakes xbox made with the xbox one launch. Microsoft and xbox have really turned it around and have once again produced the monolith of power with Series x.Fast ssd, super smooth menus, 1440p/4k support, variable refresh rate, auto low latency, hard drive support, backwards compatible with games and accessories, gamepass, games optimized for series x or s, familiar yet just better controller, external ssd expansion card available, auto hdr... you get the drift.The series X is best most complete xbox I dare say ever produced. If your already an xbox gamer its a no brainer to upgrade... if your thinking about making the switch... this is the best xbox to get onto to.Its familiar yet improved in every way. The library of exclusives can and will get better but with optimized series x games and gamepass you'll be plenty busy.Happy gaming!

  
"
5.0 out of 5 stars,"









  
  
    
  Man this is definitely a game changer... The ssd alone... I Love it...

  
"
5.0 out of 5 stars,"









  
  
    
  I normally like to wait a bit before giving my review, but I just couldn't wait to mention some things here.This thing is silent. Like.. DEAD silent. My Xbox One X would get sorta loud running BO4 and no doubt would running Cold War, but this thing is very quiet, unless you lean up really close to the top.Contrary to some articles, this thing doesn't really get too hot either. It gets warm, obviously, but it's definitely not as bad as some sources say it is.The d-pad of the controller was a bit of a worry for me when I saw it in photos. But using it just feels so right. The inclusion of a USB-C slot on the controller is also a nice touch. I have mispressed the share button a few times, but when I get a feel for where it is, it's gonna be a game changer.My only gripe so far is that I'm worried something might get into the top part where the fan is and mess everything up. And the power cable felt a tad loose, but nothing worth fretting about too much.All in all, first impressions are really good. If I remember, I'll try to update in a couple months if anything changes. Definitely recommend if you're a fan of Xbox and console gaming as a whole.

  
"
4.0 out of 5 stars,"









  
  
    
  I will start by stating I know the risks of being one of the first to get new tech.  So take my review with a grain of salt.  If you are reading this 6 months from now you probably are fine.  I am giving 4 stars because I feel the early release pains are more on the company and not the product.My review is that the Xbox delivers on what it said it would.  It is crazy powerful and just runs games beautifully.... For the short amount of time it did that.  There I was, in the middle of a 10 kill Warzone Trios making sick comms, about to secure another W all while saying ""If they only knew it was on the new Xbox"" then all of a sudden... bewp... Series X Series-ly shut down out of no where.  Not just a casual bye, no, like an angry significant other coming in and saying ""You're still playing that game?!?"" and slamming the door in your face.  I tried a number of things to get the Xbox to come back to me.  I sang it a song, tucked it in, promised I would buy every Microsoft exclusive game.  But alas nothing worked.  I now have a very, plain looking, desk weight.  Now I get to go through the fun and lengthy warranty return process with good ol big brother Microsoft.  I will take solace in the few short hours I got to brag and make fun of the ""one'ers"" who couldn't get their hands on one, but will likely have a working console before I get my replacement.  C'EST LA VIE

  
"
4.0 out of 5 stars,"









  
  
    
  Heavy unit and big! But not as big as I imagined (pc gamer usually). Runs games smooth and responsive. The UI is much quicker than xbox one.Yakuza game looks beautiful on it. And waiting for cyber punk. The new controller doesn't work with some of my older recharge xbox one battery packs. Luckily. I have rechargeable AAs.Def feels like a nice upgrade from xbox one but if you dont have the money. Don't rush into buying one yet.

  
"
3.0 out of 5 stars,"









  
  
    
  My XBSX had trouble connecting to 5Ghz wifi and would turn off on its own after just minutes of gameplay on any game. Really sucks, sent it in for repair/replacement this morning.Also, i dont like how it doesnt feel like an upgrade cause of the UI. I understand the xbox team has constantly been working on the XB1 UI to what they considered perfection but i dont know, i just wish the experience felt more new.Overrall i’m very happy for my purchase, i know im just an unlucky one

  
"
4.0 out of 5 stars,"









  
  
    
  So far not super impressed with this new Xbox. Yes it’s a sexy piece of electronic and seems built solid but the lack of launch games is disappointing. I also don’t see that much of a performance difference between my Xbox one x and this as far as speed etc. maybe because it’s due to lack of games but right now, they are way behind PS5 launch. Very disappointed and not so sure it’s worth the hype..

  
"
5.0 out of 5 stars,"









  
  
    
  Coming from an Xbox One X I can say this does feel like a next-gen leap, albeit not a huge one as of yet.The console is quiet, and the use of an SSD this generation means a very responsive UI and faster load times for games. There are a handful of Series X optimized games available but not a bunch. I bought Devil May Cry 5 Special Edition to go with this and the differences are noticeable. In addition to improved graphics and faster load times the Series X also beings Ray Tracing which made this particular game look even better.To summarize the console delivers on bringing a next-gen feel and if you have a One X already there are differences that make the purchase feel welcome. Granted, with the short supply of games out there using this to its fullest at this time, you would be forgiven for waiting a little longer to buy this. But for those that buy it now or plan to buy it, I can definitely recommend this.

  
"
1.0 out of 5 stars,"









  
  
    
  Have had major problems with this console. The disc drive doesn’t read discs after u turn the console off unless u eject and reinsert. Games like COD MW and Cold War lag incredibly bad to the point it’s unplayable due to the stuttering, yet when I try my Xbox one on the same tittles there is no lag at all. Lastly, my Xbox series x shuts completely down randomly in the middle of games - it’s done it 5 times sometimes back to back.Would not recommend buying until they patch all these problems (hopefully they can be patched

  
"
1.0 out of 5 stars,"









  
  
    
  What a rip off for the price. Not worth the money.

  
"
1.0 out of 5 stars,"









  
  
    
  Console is defective. Turned it on to play for a few hours and it stopped working. Unplugged console for 30 mins and still the same problem.  Going to wait a day to see if there’s any change but this is ridiculous.

  
"
1.0 out of 5 stars,"









  
  
    
  Dont buy

  
"
1.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.










  
  
    
   I wish I was able to give the Series X 5 stars but Microsoft customer service has killed it for me.A couple hours after receiving my Xbox it froze and after rebooting small pixel sized green squares littered the screen. I attempted swapping cables, changing TVs, and performing factory resets. In the end the issue would not go away.I decided to see if I could get a replacement through Amazon. Unfortunately they are currently out of stock. So the only option they provided was a refund or gift card.So I decided to give Microsoft support a shot, hoping that I could send it in for repair and get a replacement. This is where my journey of jumping hoops began.Microsoft only option for phone support is to fill out a form to have them call you, which is fine most of the time. After completing the form I was told I would receive a call in 90 minutes. 3 hours later I receive a call that the queue is full and my request was canceled. I would need to try again the next day.Next morning at 7am I refill out the form and receive a call from a human 2 minutes later. Woohoo! I explain my issues and the steps I took to trouble shoot. The service agent sets up a service request and says that I'll receive an email with what to do next.After hanging up and waiting a bit of time I receive the email and my shipping address is completely wrong from what I had told him on the phone....... So I hop online and resubmit the form to be called and I'm told it will be a 90 minute wait this time. 3 hours later I receive a call from a rep. I explain the mistake that was made on my address and he says that he needs to put me on hold so that he can escalate the issue. After being put on hold for 30 minutes  I abruptly get hung up on.After waiting to see if I would get a call back with no success I resubmit a request to be called online again. 4 hours later I get a call that the queue is full and my request has been canceled. I will need to try again tomorrow. I've owned every Xbox console that's been release and I would consider myself a bit of a fan boy. I shouldn't be required to jump through hoops like this when something doesn't work properly. This is EXTREMELY frustrating as a customer and has soured me a bit on the release of this console that I was super excited for a few months back.

  
"
1.0 out of 5 stars,"









  
  
    
  Release day. Power cord doesn’t event work. Power cycles on and off for 3 seconds. Used old power cord and it works fine.Garbage.

  
"
1.0 out of 5 stars,"









  
  
    
  My series X keeps crashing after a few mins of being turned on. I can just power it up and let it sit and it will power off completely without notice. Basically I have a very expensive paper weight! Smh!

  
"
1.0 out of 5 stars,"









  
  
    
  It doesn’t even turn on played for 20 min then the power button doesn’t work whatsoever

  
"
5.0 out of 5 stars,"









  
  
    
  Everything youve come to expect in a console launch. Polished hardware, subtle redesign of the included controller (1). Comes with a high speed hdmi 2.1 cable. The power brick is all internal and has a normal cable for power supply. If you are giving this as a holiday gift, consider powering it up before hand, it has approximately 900MB update to do right out of the box. The controller needs to be updated as well. You can use a smart phone and the xbox app to set up profiles and settings from your previous xbox one. You can also transfer your digital games from your xbox one over your own network instead of downloading them all from the xbox servers. Be warned! Digital game downloads can take hours to install depending on your internet connection.Great tech in this product. I like the future proof cables for when I decide to upgrade. Awesome form factor and it runs quiet and stays cool.Game pass is a must for xbox. Save thousands on games and have so many to choose from. With the latest additions of EA Play and Disney+ there is too much value for the consumer to pass up.

  
"
1.0 out of 5 stars,"









  
  
    
  I pre order this item and once received two days later after release day I was really disappointed it would turn off on me out of nowhere and would not turn back on at all. I had to shipped out to Microsoft so they could take a look at it but really disappointed how I didn’t get to enjoy my brand new Xbox and even worse I have to wait even longer now.

  
"
1.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.










  
  
    
   Was working fine on the 1st day I got it. Used it for about 6 hours and I’ll say this console is a beast. Woke up the next day the console wouldn’t turn on at all tried all the troubleshooting steps and nothing. Decided to return it for my money back. Will wait until all the bugs are fixed with future series x consoles.

  
"
1.0 out of 5 stars,"









  
  
    
  Seems dishonest

  
"
1.0 out of 5 stars,"









  
  
    
  Broken out of the box and no way to talk to anyone to troubleshoot it. This world is a mess if you need customer service these days. There’s no one there to help. Will be returning. Pretty worthless if you can’t connect a controller.

  
"
4.0 out of 5 stars,"









  
  
    
  Let me get the ugly out of the way first. The industry as a whole completely botched the release of this generation of consoles. Pandemic aside, supply was nowhere near adequate to demand and very likely should have waited until late Winter/early Spring 2021 to launch. Additionally, internet commerce infrastructure was wholly inadequate to handle orders, particularly ones plagued by shopping bots used by scalpers to scoop up the already limited supply and sell them for outrageous markups. Let's hope this was a learning experience for everyone, and measures are being put in place to avoid this from happening in the future. Since this isn't a review of the industry, it won't affect my final score. But it all bore saying nonetheless.Right then, that out of the way... Despite my September 22 pre-order being delayed delivery by a day, my Series X arrived on November 11. Microsoft did an admirable job with the packaging, and the unboxing felt like an event. Once you broke the transparent seals on the box, the lid lifted like a treasure chest, the XBox nestled in thick packing foam on either side and from the lid above. The console was carefully wrapped in thin black paper-foam with an black and green banner around it that boldly invited you to ""Power Your Dreams!""Set-up was a breeze. The Series X comes complete with HDMI 2.1 cable for 4K UHD display, power cord (and no ungainly brick this time), and of course the evolutionary Series controller. With everything connected, the first powerup was exciting. The new splash screen is powerful, reminiscent of the old THX sound intro that is truly amazing if you have the volume turned up. Once setup begins in earnest, you can continue either using the controller or by coupling the console with the new XBox app on your phone. I encountered a few issues using the phone app (which is still listed as a beta on the android market), so I continued the setup with the controller. It went without a hitch and plugged all my old XBox One settings in through the miracle of the Cloud. I also plugged in my external HDD, and it happily recognized all my old games.The user interface is like the return of a familiar old friend. It's very much like the latest iteration on the XBox One family, and you'll be right at home from the very beginning. I know a common complaint is that it didn't seem ""next gen enough"" for many, but there's something to be said for being able to navigate a new device without having to learn all the new nooks and crannies they've shuffled things into. The first thing you'll notice is how fast the UI is now. ""Snappy"" is a term often used to describe how it feels. There's no lag in moving from section to section, button presses register immediately and there's the sense that the whole UI has had a quiet yet unmistakable injection of horsepower. The store, rather than appearing tacked-on and sluggish, comes up post haste. Overall the system is very responsive, and a pleasure to use.Of course, the system really shines if you have Game Pass. Those new to XBox who take advantage of the Game Pass introductory offer will be treated to over a hundred titles you can immediately download and play. Additionally, EA Play and Microsoft teamed up, so the player has access to dozens more games from the EA library. Sports titles like Madden and FIFA, old school RPG's like the Dragon Age series and much more are at your fingertips. Many titles either already have been enhanced to take advantage of the Series S/X feature set, or are currently being updated for the very same.Now, all of this is to dance around the very obvious omission in the Series launch: a lack of original and unique launch titles. Halo Infinite was to be that vehicle for Microsoft, but after this Summer's lackluster presentation, the game was delayed until 2021. Its absence is keenly felt in the marketing and product packaging which still prominently features Master Chief as its launch mascot.That said, the future looks bright indeed for the XBox. Microsoft's manic acquisition of studios, not least of which is the still-pending Zenimax deal, promises some console exclusives that are truly ground-breaking. Between Bethesda's rich legacy in the Elder Scrolls and Fallout, Arkane and id Software, and much more, there is an embarrassment of riches on the horizon for XBox players, as well as PC and mobile gamers who plug into the Game Pass content conduit.That's all fine and well, but launch exclusives aside, how does it play games? The answer is, ""Quite well, actually!"" Those titles explicitly enhanced to take advantage of the new consoles' power are vibrant, buttery-smooth at 60 (or even 120 in some instances) frames per second, and a joy to both behold and to experience. Even older legacy titles from the original XBox and 360 eras can take advantage of the raw power that the Series brings to bear, with many benefiting from graphical upscaling, auto-HDR, and other behind-the-scenes enhancements. If you've been immersed for years in the XBox culture, you have likely amassed quite the library of games, the vast majority of which are playable on the new hardware.Finally, the new controller as has been mentioned previously, is more evolutionary than revolutionary. The back of the shell has a textured ""grippy"" new feel to it, as have the shoulder- and trigger buttons. The D-pad now features more of an 8-way control surface rather than the more familiar 4 cardinal directions. The sticks also have a slightly different feel and grip; not so much that it's unfamiliar, but it's noticeable nevertheless. A downside is Microsoft's insistence on not shipping the controller with a rechargeable battery. It takes two ""AA"" cells, and to be fair it's pretty conservative on power draw with a fresh pair of alkalines lasting a good many hours of play. And you can buy the branded recharge kit for an additional $25-ish, but seriously in this day and age, it should come as standard equipment. Luckily, the controller is so similar to the XBox One's controller, that many of the latter's add-ons work perfectly well on the new one. I swapped the recharge pack from my XBO's controller with no issue, and aside from requiring a USB-C cable rather than the older micro-USB connector, it works just fine. The same is true of the headset adapter that plugs into the bottom of the unit. It works without a hitch, which suits me just fine.OK, final verdict. The Series X is a great powerhouse of a next gen console. While Game Pass is a great deal and I can heartily recommend it, the new consoles are at time of launch a weapon in search of a war. With no new titles to really showcase the new features of the console, the whole experience, while somewhat satisfying, feels a bit hollow. I'm sure once the new titles start flowing in the coming months and years, the true value of the Series consoles will shine forth, but if it's a ""fear of missing out"" experience, I can honestly recommend you wait until availability and new titles can be brought together next year. For that reason, as of the date of writing this (November 22, 2020), I'm reserving one star from the review in the hopes that once those new titles arrive I can revise the review and give the XBox Series X the 5-stars it rightly deserves.Now if I could only get my hands on a Playstation 5... ugh. *rolls eyes*

  
"
5.0 out of 5 stars,"









  
  
    
  Great console, easy to set up (it's fast if you use the Xbox App didn't try the other normal way). If you're an everyday Xbox player, once set up, everything is familiar and ready to go. Truly feels like a PC upgrade more than a console upgrade with how smooth everything is.Also don't buy from scalpers, just wait, you're not missing anything even remotely worth the price they are charging.

  
"
1.0 out of 5 stars,"









  
  
    
  Worked for 1 day. Then it shutdown and never turned on again.  Already sent it back to Microsoft for replacement.  We will see how long that takes...

  
"
5.0 out of 5 stars,"









  
  
    
  Design:Smaller than you expect for a console that has this kind of performance.Controller:Feels great in your hand, has better latency than any previous xbox controller. Pairs and connects to the Xbox when powering on nearly instantly, which is a nice improvement from previous controllers.Performance:The level of graphical quality, FPS, and speed of the SSD make this the best console on the market. It accomplishes this all while being dead quiet and impressively cool.Features:Microsoft's implementation of Quick Resume and the velocity architecture makes switching between multiple games a breeze and actually incentives you to try different titles. The thoughts of not wanting to load up a new game because it would take too long to load up are gone forever with this generation.Conclusion:Microsoft has pulled out all the stops hardware and OS-wise. Once next generation games come out, the Xbox Series X will be the best way to game for years to come.

  
"
1.0 out of 5 stars,"









  
  
    
  After 4 days and maybe an hour of actual gameplay it won’t turn on at all. It’s completely dead.

  
"
1.0 out of 5 stars,"









  
  
    
  Scalper this product is not worth this.

  
"
1.0 out of 5 stars,"









  
  
    
  First batch has tons of hardware issues apparently. Mine randomly shuts off while running games / apps. I would not buy until Microsoft fixes this terrible first release

  
"
1.0 out of 5 stars,"









  
  
    
  Box came in good condition. Not happy with this new box. It’s very aggravating that I can’t play for hrs with out this thing freezing and shutting off. Xbox you guys hyped this up and so far it’s a complete Disappointment

  
"
1.0 out of 5 stars,"









  
  
    
  3x....pls don't fall for these scams.

  
"
1.0 out of 5 stars,"









  
  
    
  Garbage! This shouldn’t be allowed on Amazon.

  
"
1.0 out of 5 stars,"









  
  
    
  Sad to give this a poor review.  I received a launch day unit which worked for three days and apparently died overnight.  No obvious reason for the death of the system but it simply won't turn on again.  MS support is sadly poor - just a circular loop back to the same canned and deficient ""support"" page, and an option to request a repair on the unit.  Says there's 24 hour online support, but I can't actually get it for this issue.  Likely returning it instead of requesting a repair.Prior to the hardware failure I was happy with the system.  As expected, load times were quite good, games looked great and were fluid.

  
"
1.0 out of 5 stars,"









  
  
    
  Everything was great then it just turned off and now it will not come back on. Called Microsoft and they were no help at all. I have always had Xbox and have not had any real issues until now.Now when looking online you can find all kinds of people with the same issue.

  
"
5.0 out of 5 stars,"









  
  
    
  The size of the console is so compact, it runs whisper quiet and improves upon most backward compatible titles.4K HDR, 120 FPS, 1440P support, even Dolby vision is supported on the console.You will get about 800GB usable space from the SSD for your games. Eventually you may have to spill for the 1TB sea gate expansion card. However, the best thing to do is use a USB 3.0 external HDD for your older games and put the new games on your main SSD.Currently there is an issue with VRR via HDMI at 4K. Variable refresh rate on certain TVs like LG and Panasonic. Microsoft is aware and will patch this via a software update. In the meantime, you can either turn VRR off on your Xbox video settings or run it at 1440p/1080p which works fine.Gamepass is the best value in gaming right now, Destiny 2 and the new expansion are on it.UI is running butter smooth and games are launching instantly. Right now there aren’t many new releases of games, but as time goes on there will be more titles to take advantage of this beast.Microsoft made an amazing console that will only age better over time.

  
"
1.0 out of 5 stars,"









  
  
    
  I was very excited to receive my console on launch day after waiting 2 months from the pre-order. I was able to setup the console but it quickly died. The screen started flashing green then it shut off. After that it would either boot and then shut off after a minute or not boot at all. Lesson learned, don't buy the first generation of Microsoft's products!

  
"
1.0 out of 5 stars,"









  
  
    
  Over the years, I've invested in digital licenses for games.  felt like the future.  When the series x came out, I decided to give my xbox one S to my kids so they could play their games.  If we try to play at the same time, even though it is not the same game, we aren't allowed.  Okay... surely it will work if I sign in with my Kid's xbox live account that is connected to mine through family controls right?  Nope.  Maybe there is a way to loan the game or transfer the license?  Nope.  Basically I'm SOL, and will be looking for physical used games this holiday season for my kids.  The technology is ready for digital licensing, but MS is not.  I suggest buying physical (preferably used so it hurts their bottom line) until they empower digital owners.The series x itself has been fine.  Crashing a fair amount, but for now I blame that on COD:Cold War

  
"
1.0 out of 5 stars,"









  
  
    
  Console bricked in less than 5 hours, already have it on its way to MS for replacement. Truly “Next Gen” 😂

  
"
5.0 out of 5 stars,"









  
  
    
  I'm one of those gamers that buys both Sony and Microsoft systems each go 'round. With the XSX, presentation was everything. From opening up the box and seeing how MS wrapped the XSX, it felt like I bought a premium product. Power up your new system, and you can transfer your existing content over in a flash. I love the SSD, and how quickly everything boots up compared to the previous  One X/S...Seeing NBA 2K21 upgraded is amazing! It's like a totally new game from the One X/S version I was playing. The XSX is whisper quiet..You'll barely notice it's on. Gamepass ultimate is an amazing bargin! My only wish is that MS had some New launch games, but with 2020 being what it is, I understand...I'll still enjoy the games I recently purchased, and the upgraded games like MK11, NBA 2K21, MADDEN 21, COD MW, ORI, AND FORZA HORIZON 4..The future is bright .

  
"
5.0 out of 5 stars,"









  
  
    
  Excellent is the best word to describe this xbox series x. I been a gamer since the 1980s and this is by far the best console ever created. Lets take a look at some pros and cons and also why I think its better then ps5.ProsIts fast! When I say fast I really mean FAST. Loads games in 5 seconds flat, menu system is snappy etc.It's powerful! The few games available to try right now that are optimized for the series x look very good and you can tell the future will bring alot of good high end graphics to consoles finally!Great selection of games thru game pass. And its backwards compatible with all Xbox games from previous consoles.ConsSo far there's only 2.1. I think they could of did better with the controller.  Although I still believe xbox controller is better then the competition in layout and thumb sticks etc. the plastic just feels cheap. The better grip and dpad is nice but the overall feel is cheap. Theres a small lip at the top that gives it a unfinished feeling. Also no rechargeable battery is a bummer as well.. Ps5 controller just looks way better and more of a future look to it.2. The system is bulky and looks like a fridge or just a big black box. The insides alot of work went into to develop a closed system with good cooling and a monster fan which is quiet and I appreciate that but the design is not good.Ps5 design is definitely better.Now why do I feel the series x is better then ps5. It all comes down to a few things.1. It's a bit more powerful2. Better online game library with gamepass.3. Better mobile play options with being able to play straight on your mobile phone or laptop or pc gives the xbox an advantage.If you always been a Playstation guy and all your friends are on there I can see sticking with ps5. But if you don't care about friends and want a bit better experience with ability to play your games even on the go then xbox is the moveI know this is a long review but I feel microsoft deserved it since they did a hell of a job with this system and I highly recommend it to anyone.If your a gamer and thinking of switching from pc to a new console then this would be the one I recommend.

  
"
1.0 out of 5 stars,"









  
  
    
  When I got it games would shut off either immediately or within the hour. I don't know what was wrong, I think it had a faulty power supply. I sent it back; took more than two weeks to get it back with expedited service that I paid an extra $10 for. I received the HDMI and AC power cord a week later in a different box, and I've yet to get the controller back; it's been 4 weeks.I could have purchased a PS5 and I wouldn't have had any of these problems. Stupid mistake.

  
"
5.0 out of 5 stars,"









  
  
    
  ...for Santa to let me buy this. First off, I understand that I got extremely lucky and happened to see a surprise shipment of these that Amazon got the first week of December. I was able to buy it at MSRP and received my series X the next day. And WOW. I love this console. The load times are non existent. I have a low latency 4k TV and the image is amazing! Even early Cyberpunk runs perfect with nearly no load times. I have been gaming since the first NES came out in the 80s and this is the most polished gaming console I've ever experienced. I know others may have issues and the war with PS5 will be brutal... but I am having a blast. So far there isn't a single thing I'd change. X Series and Gamepass is the best gaming value this year.

  
"
5.0 out of 5 stars,"









  
  
    
  I only had this for a few days and so far I love the system. It sits 6 feet away from me and I can not hear it. It is so quiet. I was originally was going to get the Xbox One X in 2018 to replace my Xbox One Launch version but so glad I held off as the XSX is able to run older games nearly at the intended locked framerate with rarely any drops like the Xbox One X. I pulled out some of my old favorite Original Xbox, Xbox 360 and Xbox one games and they all look better with a more stable framerate, a higher resolution with higher amounts of AF.All in all the system is lighting fast. Usually, with load screens, I would pull out my phone or walk away to do something else. With this system, you really cannot do that anymore due to the lightning-fast SSD. The Xbox dashboard is very snappy like modern high-end smartphones. I am very glad I didn't get the Xbox1x and got this. The controller is similar to the Xbox One controllers but it has a textured backside. The triggers also feel more solid.Lastly, I'm not one to do game subscriptions but GamePass is very enticing at $15 per month. I'm planning to sign up by the end of the month.All in all, it's a good value if you have a 4K display. Coming from a Steam PC gamer Im very impressed with the system.

  
"
