stars,comment
5.0 out of 5 stars,"









  
  
    
  The system has continued to do what all of Sony's game systems have done for me.  It hasn't broken down yet.  I have never recieved a messed up system from the start with these guys though I'm sure it happens.  Only issue I have is with the fact that the controllers don't last very long but I have since bought me a docking station for them to charge so thats been taken care of.  I like the feeling of how light the system is.  The controller is great as I am glad they added the weight to it.  The original ones for the PS3 just were too light and I have to many messed ones because of it.  The head phones are so-so but for a person that spends very little time communicating with others online it really doesn't matter to me.  Of course you have to have an updated TV with HDMI to use it but I bought mine the minute I got a PS3 so that was taken care of long ago.  Now just waiting on some better games as both systems (PS4 and Xbox ONE) are kind of lacking in that area.  I have time though as I work most of the time and use Netflix most of the week anyway.

  
"
1.0 out of 5 stars,"









  
  
    
  I know you have to expect issues when you buy a 'used' console, but reselling your garbage is another thing entirely.Quite simply, the console didn't work. On the rare occasions it actually managed to start up, I couldn't play more than 15-20 minutes before a blue ""haze"" covered the screen and the system became nonoperational. The only way to fix it was to pull the plug, which (of course) caused more data loss and subsequent crashes. I had to return it for a refund.That said, I will commend the company (JMS Holdings) on their excellent customer service. My request (and the actual refund) were processed very quickly, and I got the entirety of my money back. That matters, especially when you're dealing with a high-price item, and I appreciate it.

  
"
5.0 out of 5 stars,"









  
  
    
  The first games I bought for my PS4 were Lego Marvel & Battlefield 4 which were great to showcase what the system can do. Resogun is a free game you can play when you're a PS Plus member. I have been playing inFamous Second Son & the DualShock 4 controller couldn't have been any better for the game. The system can fix the friend list & the organization of the menu bars.It doesn't show PS3 players if you're online. The DS4 controller definitely dies fast, a full charge last me about 3 hrs, so buying two controllers is a must.Sony has definitely perfected the PS4, a few software enhancements can make the experience even better. I can't wait to see what the future of games can do with the power of PS4

  
"
5.0 out of 5 stars,"









  
  
    
  In response to so many reviews about defective units, I thought I'd just say that my PS4 is working fine so far. The only thing I've noticed is that the cooling fan is pretty noisy, but that's it. And it works fine even though the box it came it was unbelievably beat to heck by UPS, to the point the box was noticeably ripped open and taped shut again (Amazon's poor packaging didn't help things).As for the console itself, I see great potential. As with any launch, the games are pretty lacking- my PC would laugh at the new Killzone game, for example (30fps? Really?), but I can't wait to see the future PS4 exclusives coming down the line. Exclusives are going to be the main strength of the PS4 over the XboxOne, which Microsoft has always seemed to have trouble securing outside of Halo. I think if you're like me and have a PS4 and a gaming class PC, you're covered.

  
"
5.0 out of 5 stars,"









  
  
    
  I love this system.PROS for me:-Graphic are much more crisp and in tune with this generation-The overall layout is simple enough after a few times using the system-Great layout of things on it, easy to get from one place to another, and fast-Add-ons are awesome-PS plus is actually pretty cool, you get discounts and free games every month on various things-PS4 stepped it up big time compared to the PS3 launch.-Lots of fun free games out right now and next month more and more games begin to come out. As of right now it is Killzone, Order 1886, and BF4 for me.CONS for me:-no ability to name change-No backward compatibility which i hate because I love Skyrim and refuse to not play a few hours every when I can-The upgrades from PS3-PS4 do not transfer game saves which meant I had to start over for Assassin Creed Black Flag I hope everyone who wants one will get one and I hope they re-stock for everyone fast.

  
"
5.0 out of 5 stars,"









  
  
    
  Was Xbox owner last two generations, switched over to PS4 and could not be happier with my choice. PS4 does exactly what I want it to do, the opening screen menus are not as disjointed as the clustered Xbox one was. The controller feels very Next Gen ish and I love the fact that I don't need to hoard batteries anymore.Games play smoothly and the device barely makes any noise when running. Only thing that could potentially be a problem with the PS4 is the lack of hardware space. 500 GB sounds like a lot but it is 400GB of available space when you start it up and each game you buy (including game disks from retail outlets) REQUIRES a mandatory install onto your PS4 drive so it can run more efficiently. (The Installs are anywhere from 11GB to 40GB) SO far that is not a problem since not that many games out, but after a year or two, we as consumers will have to constantly be deleting our older games to fit in new ones.

  
"
4.0 out of 5 stars,"









  
  
    
  Full Disclaimer, own Xbox one: I have owned every single PlayStation Consoles, and this is by far the best Gaming console sony has made. The gaming graphic is superb; I  enjoy the high quality Sony provided us. The new DualShock controller fits great in one's hand, and it is very comfortable and the touchpad works all right, but I feel it revolting sometimes. I enjoy playing Madden 25, and Call of Duty: Ghosts. The graphic performance is exquisite, very fast with lack of noise, which makes gaming so enjoyable. Gamers no longer have to worry about consoles overheating due to gameplay. Some people are complaining about the hard drive sound; however, my current console does not experience that issue. The UI works great and is very fast and responsive. Something I enjoy using is DLNA, with multiple devices and it is a not sure why sony did not include it, maybe they will since its software related, but only time will tell. The 3.5mm jack works awesomely with most pair of headphones. The PlayStation Network is gradually improving, and I believe over time it will transcend pass the Xbox Gaming Network. An innovation Sony must capture if they want to become the number one gaming system, would be the integration of the PlayStation Vita's in the ecosystem, so its interacting as one collective unit. Downloanding using this current system works exceptional well. Sony PS4 is for gamers, and I am glad I purchased the day one edition. PS4 is a top notch gaming console and for sony. Another selling point for the PS4 is the dedicated gaming graphics, which will continue its evolving process til Full 1080p 60FPS multi gaming becomes a reality. Currently, most games are running on 720p 60 FPS, I believe there are one two games that are running on 1080p 60 FPS on single player, Killzone Shadow, which is very disappointing, case and point for the 4stars review. I am looking forward to  exciting Sony exclusive games titles that should be coming out in the coming months.

  
"
5.0 out of 5 stars,"









  
  
    
  Bought this model in 2014 and it's still going strong.  Not a single issue with it. With the 5.50 update I added a 4tb external hdd. I bought the PSVR last year. Both still working great.

  
"
5.0 out of 5 stars,"









  
  
    
  Let me talk a little about the console.We've had ours since launch day because... we preordered one the day preorders were possible. Our expectations were high for the console build and features and realistic for the launch date games and both expectations were generally met. In other words, we are happy so far and we are happy to see that every firmware update gets us a slightly more capable gaming console and every month there are new good, sometimes great and every once in a while awesome games released, some multi-platform, some exclusive.So, without regurgitating published specs... let's talk about what you get out of a PS4THE AWESOME AND THE GOODHere they are, first briefly, then discussed below.- Awesome, flawless graphics. No, I am not comparing the PS4 to gaming PCs that cost 2-3-4 times as much. For what we pay, and comparing the PS4 to the previous generation of consoles, the graphics a quite  impressive. And it's not just resolution but the console's ability to keep track of a lot more independently moving objects without slowing down or dropping frames.- Near-revolutionary new DualShock 4 controller. Battery life is not that great (get a second if you can spare the extra cash) but I do appreciate the added in-controller speakers, the clickable touchpad and the way the slightly beefier controller feels.- When compared to the PS3, 10x the processing power, 32x more RAM and it shows.- Digital content is available at whatever PS4 you log into- HDD still upgradeable without voiding warranty - popped in a 1TB 7200 RPM upgrade and it was easy.- No power brick- Game and chat audio can be sent to a headset through PS4's 3.5mm port.- Many media apps: Netflix, Amazon, etc. and the list is constantly growing.- Online access is 100% optional. Yes, you can do it all, including system patches without ever connecting your PS4 to the Internet.- PS Plus subscription only required for (most) multiplayer games, not for media services.- PS Plus offers a couple of good 'free' games, some older AAAs, some new indies every month and you can play them for as long as you are subscribing.- Plenty of sharing, social featuresTHE  UGLY AND THE BADAnd... yeah, not everything is awesome and here it is what needs to be fixed or get better so that we all become a happy gaming family. This may seem to be a long list but I am confident that quite a few of the items below are going to be addressed sooner rather than later and nearly all of them before the end of 2014.- No Media Server/DLNA support and this is one of the few reasons our old PS3 is used almost as much as the PS4- No support for audio CDs (no big deal to most but still dumb)- No support for Bluetooth headsets (I bet they'll fix this soon)- No support for mice of any kind (Bluetooth or USB)- DS4's lightbar can't be turned off completely even though it can be dimmed a little- Doesn't play PS3 games except for the few available as streaming rentals and the price for that service is not 'right'.FIVE STARS IF THIS SUITS YOUThere are different bundles available so it's good to be able to pick the one that fits you best. Promos come and go so take advantage of one. I noticed that at the time I am writing this review you get one of 4 free games as a download which is nice.-->> Brush your teeth, it's the law! <<

  
"
3.0 out of 5 stars,"









  
  
    
  controller is better, definitely better graphically, that party system is nice, remote play is fantastic if you have a friend you want to show a game from across the country, but maybe less so if you live in the same city. but this far along still lacks some features of the ps3, and it's simple things like sort app's by favorites and connecting a wide variety of bluetooth head sets or completing install updates in power save mode. and lastly hdd is more limited than i would like. comes with a 500 gb hdd but 1 tb drives are cheap (only $20 more than what they come with or $30 more for a faster 1 TB hdd or $45 more 2 tb drive) and after saves, updates, dlc, and the video capture/share mode that you can't disable to free up those resources after 6-7 games you have to start making choices on what to save and what you want to reinstall next time you choose to play it. the standard hdd it comes with just isn't enough. i like it, but i wanted to like it more and the worst thing is i know exactly why.but really at the end of the day the most important thing is what your friends play, because that means at least as much as all this, so ask what they have and then get that too.

  
"
5.0 out of 5 stars,"









  
  
    
  I have had my PS4 for 2 months now and it is awesome.  The controller feels great, and has the much needed improvement over the past PS controllers.  The Seamless transition from game to main menu then either back or to a new app is great.  The updated Party features the are more like how the Xbox 360 is, makes this an almost flawless system.  Few things I don't like it getting to messages sent to me, or updates to what my friends are playing, It's hard to sort through and find the High score updates so I know what Im trying to beat them at.  Other then that I love this console!!  Add the PS app to your phone for wireless keyboard function and you have everything you need for a great gaming system!

  
"
4.0 out of 5 stars,"









  
  
    
  I like pretty much everything about it.Just a couple gripes: loud fan, especially in graphically tolling games like Uncharted 4.  The XMB (main menu) is sloppy and disorganized.  I hate scrolling through a million pictures to get to the one game or demo I want to play.The controller fells good.  Works well.  It dies pretty quickly, though.I feel like it was an unnecessary platform, honestly, with few games seeming like large graphical improvements upon the PS3.  I only bought it to play Uncharted 4, and I'll pick up a few more gems on the way until I get a gaming PC.

  
"
5.0 out of 5 stars,"









  
  
    
  As a big baseball fan, I wanted the the next-gen version of MLB 14 The Show which prompted me to buy a PS4. Now I can't wait for Sony to continue the tradition of bringing a slew of great exclusive titles to this thing, just like they did with the PS3 & PS2.To go along with my PS4, I purchased a 1.5 TB hard drive to swap with the 500 GB hard drive that is included with the console. The console and larger hard drive arrived on the same day, so before even turning the console on, I swapped hard drives, and I would like to give kudos to Sony for making this incredibly easy. Now that I have a much larger hard drive in my PS4, it will be my main console for the generation, and will be the console I purchase most, if not all multi-platform titles on.After having the console for a month and a half so far, I really enjoy it. The UI is great and easy to use, and the speed in switching from one game to another is a breeze.I find myself gaming on my PS4 much more than I do my Xbox One or my Wii U.

  
"
3.0 out of 5 stars,"









  
  
    
  still not much a fan of either Sony or the PS4 itself. however, i will say that mine is of the first model off of the line. and it is still running just fine. ( did replace the thermal paste after the warranty, though )i am just not a fan of the dashboard mostly. it is too clunky and doesn't seem very game oriented. and browsing ones own library is STILL a mess. the what's new screen just never seems to change. just a bunch of spam from yours and your friends activities, with no way to turn any of it off. therefore, Sony cannot deliver directly to their consumers good advertising. ( not sure why they don't fix this. just make a new tab for activity... right? )just a few tips for keeping your PS4 cool...1.) heat rises. so while not really practical, the lower in the room the cooler the PS4 can remain.2.) don't set it on its side. basically you will choke the intake amount of cool air. the little holes there on the side are your intake. when on its side, only a few holes towards the ends will be taking in cool air. if the holes on the other side were larger, it wouldn't be an issue, but then dust would be an issue. whether or not this chokes your intake may depend on your model, just look at it and you will know. maybe check for a stand to buy.3.) despite what is said above, keeping flat on a surface isn't entirely good either. it sits too close to your surface. this causes heat to accumulate in that surface. eventually the surface won't be able to disperse anymore heat, so it returns to the inside of the PS4 increasing ambient temperatures. just stick yourself a small stub in each corner to raise the system about a 1/2 inch from the surface.4.) if your warranty is already void, or don't care... upgrade the thermal paste. (if you don't know how, youtube ought to have sufficient information)

  
"
5.0 out of 5 stars,"









  
  
    
  Looks great , except the fact , that glossy finish is extremely easy to scratch or to leave marks. I wiped it with microfiber cleaning cloth that I use for my glasses and still lots of light scratches all over the surface. The controller's battery do not last as much , as the one in the PS3 controller. This console has a long way ahead , and I'm looking to see its progress  ! Can't wait for the next ""Naughty dog"", ""Santa Monica"" and ""Quantic Dream"" games ! TO unleash the graphic to its full potential , and to get a native 1080p  resolution with all details maxed to match the PS4 hardware performance ! I used to have both PS3 and XBOX 360 consoled , but sold them to get true 1080p on my 150"" projector screen. At this image size , resolution must be the highest one accepted by your hardware. I'll get XBOX one , but not until they get rid of the power brick and reduce the size and weight to the PS4 level ! However design the Microsoft next generation console , needs replacement ! External power supply, DDR3, old VHS design and footprint? Really ?

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this as I wanted to play PS4 exclusives. I'm primarily a PC gamer but the PS4 I received was sleek and clean. Declutter Store was nice enough to also bundle the console with the wires and the controller. For the time I did have it, it ran like a gem. I never saw any issues with it. It was like having a new PS4 for the price of a used one.Unfortunately, I no longer have it as it was stolen and sold by a disowned family member I had a court order against (my father). Before I see comments, I went to the police twice. I'll never see this particular console again but it's getting replaced soon. Nonetheless, if you are thinking about getting one at the supposed end of the life cycle--- get it! Sony's game products makes it worth it. You'll have plenty to catch up on!

  
"
5.0 out of 5 stars,"









  
  
    
  I was really skeptical about purchasing the PS4 in November, and I'm guess I'm glad I waited until February. It looks like a decent amount of people had issues with their PS4's, and that's a shame. But, I guess time and lessons learned has paid off for Sony. The one that was shipped out to me has worked FLAWLESSLY. Here's a quick breakdown:PROS:- The new XMB OS is amazing and lightyears beyond the PS3 XMB.- Online play is more stable and faster than PS3. Looks like Sony can afford better servers now with PS+ :)- Graphics are out of this world. On par with PC graphics at this time.- Dualshock 4 is comfortable, easy to use, and the best the PlayStation has ever had. It's still not as good as the Xbox 360 controller, but it's only off by a hair. The speaker on the controller is a welcome addition, as is the touchpad.CONS:- Not a lot of games out right now.- Was promised controller charging on off mode, but it's only when the PS4 is on standby mode. A small letdown.All in all I recommend getting one now that is seems Sony has worked out the kinks of the launch day ones.

  
"
2.0 out of 5 stars,"









  
  
    
  After owning the PS4 for about two years the internal fan has completely stopped working which causes the system to shut down after having it on for a short time, rendering it unplayable. The PS4 has never been dropped or handled roughly so there is no reason that the fan should not be working. I now have to pay a total of about $40 for a new fan, thermal paste, and thermal paste remover so I can try to fix it myself. I've heard Sony charges around $100 to fix it so I will not be sending it to them for repair. I am very disappointed.

  
"
5.0 out of 5 stars,"









  
  
    
  Forget the “PRO”, the original old model is so entertaining to play on.  I’ve had it for quite a few years now and have been enjoying it since. Arrived well packaged without any damage at all. It is unfortunate however you have to buy more gigabytes or delete some game data in order to enjoy new games though, but oh well, it’s all business unfortunately.

  
"
3.0 out of 5 stars,"









  
  
    
  It's been 3 days now and the device seems to be working perfectly. There were very little cosmetic flaws nothing more than a slight scuff. Three stars because although it is pictured with a controller  it does not come with one.  I did try to get in contact with them beforehand to check if it came with a controller but because the item was in the warehouse they were not able to verify.

  
"
5.0 out of 5 stars,"









  
  
    
  I received the PS4 this week shipped directly from Amazon and have had no problems. The system was the easiest console to set up and the graphics are truly amazing. Hopefully, the developers can stop pushing back release dates and launch some games this Spring/Summer though!If ordering from Amazon, beware of the packaging. I suspect the reason for so many systems being delivered broken is simply because the packaging is absolutely horrible. Literally, one piece of bubble wrap at the bottom and nothing on top. I couldn't believe they would ship a $400 item in such a careless way. I am still baffled by the lack of (basically nothing) protection.

  
"
5.0 out of 5 stars,"









  
  
    
  First I want to state that my initial launch edition was doa out of the box with the pulsing blue light and no video defect.  In less than a week amazon had a brand new one to me and this one worked perfect.  Props to amazon for quick turnaround, they always seem to make things right.After finally getting a chance to play this new console I can easily see what all the hype is about.  Not only does the system look very hansom sitting next to it's older brother (ps3), it's very quiet even with a disc in the drive.  The UI is simple and easy to navigate, I had no problems figuring out where to go or what to do.  The controller really feels like a quality item.  If feels really sturdy and comfortable in my hands.  The new touch pad and little speaker is a nice addition.  Sony didn't skimp on this thing.The first game I downloaded was of course Resogun and while it seems like a simple arcade type shooter, it still finds a way to show off what the system can do.  Very fun and addictive.  After that I popped in Assassin's Creed 4 and was in awe of how the game plays and looks.  It truly feels next gen.  I'm very excited for what the future holds in the PlayStation 4!  Also, I'd like to add that the share options are very cool and make it so simple to show people what you're playing.  It really impressed me.I would highly recommend getting this system if you're thinking next gen.

  
"
