stars,comment
5.0 out of 5 stars,"









  
  
    
  Everything youve come to expect in a console launch. Polished hardware, subtle redesign of the included controller (1). Comes with a high speed hdmi 2.1 cable. The power brick is all internal and has a normal cable for power supply. If you are giving this as a holiday gift, consider powering it up before hand, it has approximately 900MB update to do right out of the box. The controller needs to be updated as well. You can use a smart phone and the xbox app to set up profiles and settings from your previous xbox one. You can also transfer your digital games from your xbox one over your own network instead of downloading them all from the xbox servers. Be warned! Digital game downloads can take hours to install depending on your internet connection.Great tech in this product. I like the future proof cables for when I decide to upgrade. Awesome form factor and it runs quiet and stays cool.Game pass is a must for xbox. Save thousands on games and have so many to choose from. With the latest additions of EA Play and Disney+ there is too much value for the consumer to pass up.

  
"
1.0 out of 5 stars,"









  
  
    
  I pre order this item and once received two days later after release day I was really disappointed it would turn off on me out of nowhere and would not turn back on at all. I had to shipped out to Microsoft so they could take a look at it but really disappointed how I didn’t get to enjoy my brand new Xbox and even worse I have to wait even longer now.

  
"
1.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.










  
  
    
   Was working fine on the 1st day I got it. Used it for about 6 hours and I’ll say this console is a beast. Woke up the next day the console wouldn’t turn on at all tried all the troubleshooting steps and nothing. Decided to return it for my money back. Will wait until all the bugs are fixed with future series x consoles.

  
"
5.0 out of 5 stars,"









  
  
    
  I've been playing Xbox since the OG version back in the early 2000's, the 360 was a nice leap from that OG version, the One was a good evolution from the 360, and now the XSX is further refinement. There's nothing really revolutionary especially if you're coming from the Xbox One X that had a powerful GPU already.Launch game list is atrocious, nothing really great to captivate the Xbox faithful. In the month and a half that I've had this console I've played Rocket League, Cyberpunk, Ori, GOW 5, Gears Tactics - they look nice but really can't see a difference compared to my One X graphically. Of course, there's the much better load times, instant game boot up and general quitness to the console which are a great improvement but is it worth $500 over the $500 I paid 2-3 years ago for the One X? Not really.Overall, I am an early adopter of tech, I've had all the day one editions since the 360 so I am a beta tester of sorts - I do anticipate the XSX to get better starting in 2021 with more first party games takind advantage of the the strong GPU and SSD performance. But for now, if you're a casual gamer like me or have the Xbox One X I would say to hold off until mid-late 2021. If you are rocking the Xbox One or Xbox One S then this is a worthy upgrade just for the visual upgrades and speed improvements.I play on a 65"" LG CX Oled TV via HDMI 2.1 cable, hopefully in 2021 more TVs are able to take advantage of all the tech the XSX offers for cheaper.

  
"
5.0 out of 5 stars,"









  
  
    
  Absolutely Incredible Console with Amazing Graphics, Super High Build Quality, etc as I can’t say enough Awesome Stuff About The New Xbox Series X as it’s Like Having A True High End Gaming Pc without the associated Price Tag since We Get The Entire Xbox Series X for only $499 which is what an equivalent 3070/6800 GPU alone by itself would cost of which Pc gamers would easily spend $1600 dollar’s to build a Pc to match the Specs, and performance capabilities of the Series X

  
"
5.0 out of 5 stars,"









  
  
    
  I've grown up mostly a Playstation gamer...ps1 to ps4. I had and enjoyed xbox 360 but PS was my go to.  That all changed when I bought the xbox one x and tried gamepass. What a game changer that combo was for me quite literally. The one x played 3rd party games better than the competition and gamepass was an incredible value. Backward compatibility was the bonus. I loved it.Series X continues that power and value proposition without the mistakes xbox made with the xbox one launch. Microsoft and xbox have really turned it around and have once again produced the monolith of power with Series x.Fast ssd, super smooth menus, 1440p/4k support, variable refresh rate, auto low latency, hard drive support, backwards compatible with games and accessories, gamepass, games optimized for series x or s, familiar yet just better controller, external ssd expansion card available, auto hdr... you get the drift.The series X is best most complete xbox I dare say ever produced. If your already an xbox gamer its a no brainer to upgrade... if your thinking about making the switch... this is the best xbox to get onto to.Its familiar yet improved in every way. The library of exclusives can and will get better but with optimized series x games and gamepass you'll be plenty busy.Happy gaming!

  
"
5.0 out of 5 stars,"









  
  
    
  Man this is definitely a game changer... The ssd alone... I Love it...

  
"
5.0 out of 5 stars,"









  
  
    
  I normally like to wait a bit before giving my review, but I just couldn't wait to mention some things here.This thing is silent. Like.. DEAD silent. My Xbox One X would get sorta loud running BO4 and no doubt would running Cold War, but this thing is very quiet, unless you lean up really close to the top.Contrary to some articles, this thing doesn't really get too hot either. It gets warm, obviously, but it's definitely not as bad as some sources say it is.The d-pad of the controller was a bit of a worry for me when I saw it in photos. But using it just feels so right. The inclusion of a USB-C slot on the controller is also a nice touch. I have mispressed the share button a few times, but when I get a feel for where it is, it's gonna be a game changer.My only gripe so far is that I'm worried something might get into the top part where the fan is and mess everything up. And the power cable felt a tad loose, but nothing worth fretting about too much.All in all, first impressions are really good. If I remember, I'll try to update in a couple months if anything changes. Definitely recommend if you're a fan of Xbox and console gaming as a whole.

  
"
4.0 out of 5 stars,"









  
  
    
  I will start by stating I know the risks of being one of the first to get new tech.  So take my review with a grain of salt.  If you are reading this 6 months from now you probably are fine.  I am giving 4 stars because I feel the early release pains are more on the company and not the product.My review is that the Xbox delivers on what it said it would.  It is crazy powerful and just runs games beautifully.... For the short amount of time it did that.  There I was, in the middle of a 10 kill Warzone Trios making sick comms, about to secure another W all while saying ""If they only knew it was on the new Xbox"" then all of a sudden... bewp... Series X Series-ly shut down out of no where.  Not just a casual bye, no, like an angry significant other coming in and saying ""You're still playing that game?!?"" and slamming the door in your face.  I tried a number of things to get the Xbox to come back to me.  I sang it a song, tucked it in, promised I would buy every Microsoft exclusive game.  But alas nothing worked.  I now have a very, plain looking, desk weight.  Now I get to go through the fun and lengthy warranty return process with good ol big brother Microsoft.  I will take solace in the few short hours I got to brag and make fun of the ""one'ers"" who couldn't get their hands on one, but will likely have a working console before I get my replacement.  C'EST LA VIE

  
"
4.0 out of 5 stars,"









  
  
    
  Heavy unit and big! But not as big as I imagined (pc gamer usually). Runs games smooth and responsive. The UI is much quicker than xbox one.Yakuza game looks beautiful on it. And waiting for cyber punk. The new controller doesn't work with some of my older recharge xbox one battery packs. Luckily. I have rechargeable AAs.Def feels like a nice upgrade from xbox one but if you dont have the money. Don't rush into buying one yet.

  
"
3.0 out of 5 stars,"









  
  
    
  My XBSX had trouble connecting to 5Ghz wifi and would turn off on its own after just minutes of gameplay on any game. Really sucks, sent it in for repair/replacement this morning.Also, i dont like how it doesnt feel like an upgrade cause of the UI. I understand the xbox team has constantly been working on the XB1 UI to what they considered perfection but i dont know, i just wish the experience felt more new.Overrall i’m very happy for my purchase, i know im just an unlucky one

  
"
4.0 out of 5 stars,"









  
  
    
  So far not super impressed with this new Xbox. Yes it’s a sexy piece of electronic and seems built solid but the lack of launch games is disappointing. I also don’t see that much of a performance difference between my Xbox one x and this as far as speed etc. maybe because it’s due to lack of games but right now, they are way behind PS5 launch. Very disappointed and not so sure it’s worth the hype..

  
"
5.0 out of 5 stars,"









  
  
    
  Coming from an Xbox One X I can say this does feel like a next-gen leap, albeit not a huge one as of yet.The console is quiet, and the use of an SSD this generation means a very responsive UI and faster load times for games. There are a handful of Series X optimized games available but not a bunch. I bought Devil May Cry 5 Special Edition to go with this and the differences are noticeable. In addition to improved graphics and faster load times the Series X also beings Ray Tracing which made this particular game look even better.To summarize the console delivers on bringing a next-gen feel and if you have a One X already there are differences that make the purchase feel welcome. Granted, with the short supply of games out there using this to its fullest at this time, you would be forgiven for waiting a little longer to buy this. But for those that buy it now or plan to buy it, I can definitely recommend this.

  
"
1.0 out of 5 stars,"









  
  
    
  Microsoft should try to get control over this.  Should be illegal for one person to secure 7 and rip people off like this while everyone tries over and over to get one, but can't.

  
"
3.0 out of 5 stars,"









  
  
    
  What the console can do is good, but there is no new exclusives games for launch. I feel that’s a huge loss for Microsoft. Not really any reason to get this console until sometime next year when there will be some exclusives. The looks of this console doesn’t feel next gen and not a fan of how the insides are built/put together. Going to be a massive pain to clean this thing.

  
"
5.0 out of 5 stars,"









  
  
    
  Tons of PowerGamepassHaloWhat more can a man want?We are living in trying times Xbox will help keep our minds busySolid build and lightening fast UIOri looks gorgeous!

  
"
1.0 out of 5 stars,"









  
  
    
  awful scam to run. Scummy people ruin things.

  
"
1.0 out of 5 stars,"









  
  
    
  A Xbox series x cost $499 not this crazy price.

  
"
1.0 out of 5 stars,"









  
  
    
  These people are the lowest of low,just praying on people the worst of humanity.

  
"
5.0 out of 5 stars,"









  
  
    
  To start off I would consider myself not a pro gamer, but definitely not a casual. I’m some where in between hardcore & Pro gamer. I got some insight on specs etc. This review will not be about the specs because we already know it’s damn better than last gen console Xbox One X.After a terrible, terrible, terrible...... the worst preorder experience of my life. I’m not joking. This generation of consoles preorders will go down in gaming history infamy because how bad it was, especially during our pandemic. I was as excited as I ever could be to receive this item as if I was a child all over again. And to top it all off it came 9 hours earlier on release day! I call that a significant win for preorder delivery, since this is my first time preordering a console online.Now for what your really here for, the console review. Personally, I love it. Load times are significantly faster! Games look so damn good! And total backwards compatibility with this console made me cry tears of joy. A true 4k experience. Something last generation promised us that didn’t happen.Now not anything is perfect. The one huge downside is there are no new games for this system yet. Usually there will be about 5 to 10 day one (some exclusive only to console) games. This year there’s basically 0. Yes, the positive spin on this is you have a while back catalog of older games you can play on this newer system and see the graphics ramped up. But as an avid gamer I am a Little disappointed that Microsoft the back big time even during pandemic that they couldn’t even offer at least 3 day one games. Sony is the same. These consoles will not have new games coming out day 1 unfortunately. We’ll have to wait till a little more in 2021 to expect the games we really want.If you want a more in-depth review you can head right on over to my YouTube channel where you can see an extensive review on the console today at 8pm central standard time. My dad and puppy will be on. It’l is going to be hilarious and cute. My channels name is Clive Childress. Come check it out of your interested to know more.All in all though this console is stellar. And I can’t fault the company for the pandemic situations. So with all that said this is a pretty great console.

  
"
1.0 out of 5 stars,"









  
  
    
  This is way more than the item sells for.

  
"
5.0 out of 5 stars,"









  
  
    
  Preorders were a mess but did you really expect them not to be? With that being said this thing is amazing totally worth it

  
"
1.0 out of 5 stars,"









  
  
    
  Absolutely a complete rip off!!

  
"
1.0 out of 5 stars,"









  
  
    
  This should be illegal. What a scummy thing to do.

  
"
5.0 out of 5 stars,"









  
  
    
  I'm one of those gamers that buys both Sony and Microsoft systems each go 'round. With the XSX, presentation was everything. From opening up the box and seeing how MS wrapped the XSX, it felt like I bought a premium product. Power up your new system, and you can transfer your existing content over in a flash. I love the SSD, and how quickly everything boots up compared to the previous  One X/S...Seeing NBA 2K21 upgraded is amazing! It's like a totally new game from the One X/S version I was playing. The XSX is whisper quiet..You'll barely notice it's on. Gamepass ultimate is an amazing bargin! My only wish is that MS had some New launch games, but with 2020 being what it is, I understand...I'll still enjoy the games I recently purchased, and the upgraded games like MK11, NBA 2K21, MADDEN 21, COD MW, ORI, AND FORZA HORIZON 4..The future is bright .

  
"
1.0 out of 5 stars,"









  
  
    
  Hope you never sell them

  
"
1.0 out of 5 stars,"









  
  
    
  Wait for the stock to replenish, all games are backwards compatible. don't feed the Trolls

  
"
1.0 out of 5 stars,"









  
  
    
  How dare you Amazon!  $1,500.00?  Thats not cool dude.

  
"
1.0 out of 5 stars,"









  
  
    
  annoying

  
"
1.0 out of 5 stars,"









  
  
    
  I get it. Supply and demand, but seriously? Literally triple the price? PC master race... here I come... Get a nitro 5 instead of this deal. The entire reason consoles were so popular were the affordability. By all means, if you can buy it, it's a great machine. It seems like we are all beta testers and game companies are just releasing garbage games and fixing the issues on their time... simple fixes take months not days. Smh.

  
"
5.0 out of 5 stars,"









  
  
    
  It’s a behemoth simple put. Besides that it is a really amazing console. Just setting it up and downloading a few games for my son, I could really notice the download speed and performance upgrades. Does not run hot so far it has been running terratech in 4K hdr for about half hour. See picture. The Xbox one x would easily hit 150 degrees Fahrenheit.

  
"
1.0 out of 5 stars,"









  
  
    
  $1400? Really? I hope you end up stuck with them.How does amazon allow this type of activity?

  
"
5.0 out of 5 stars,"









  
  
    
  Let me start off by saying I am not an Xbox fan boy lol. I have mostly played PS4 and PC  in the past few years. I was very intrigued with Xbox series X because of the user experience. They really seem like they were listening with this generation and it shows. The UI interface is like butter it moves so quickly, with hardly any waiting. Game pass which is an amazing option only on Xbox and PC has an amazing selection of games right at my fingertips for a monthly fee. Xbox really got the user experience down I can honestly say that it was definitely worth it. I've been enjoying a lot of games that I played on PC and I am confident in saying that I have such a great experience on Xbox series X I'm blown away. It gets a little hot but I have it in a very breathable location. ( I would recommend that as well ) I'm excited to play all the Xbox one games I missed out on! (And new games of course) Overall I really recommend it.

  
"
1.0 out of 5 stars,"









  
  
    
  Strait trash. Almost 3 times the original price. You done bumped your head. Have fun selling them to gamestop for 250 im a month

  
"
5.0 out of 5 stars,"









  
  
    
  Excellent is the best word to describe this xbox series x. I been a gamer since the 1980s and this is by far the best console ever created. Lets take a look at some pros and cons and also why I think its better then ps5.ProsIts fast! When I say fast I really mean FAST. Loads games in 5 seconds flat, menu system is snappy etc.It's powerful! The few games available to try right now that are optimized for the series x look very good and you can tell the future will bring alot of good high end graphics to consoles finally!Great selection of games thru game pass. And its backwards compatible with all Xbox games from previous consoles.ConsSo far there's only 2.1. I think they could of did better with the controller.  Although I still believe xbox controller is better then the competition in layout and thumb sticks etc. the plastic just feels cheap. The better grip and dpad is nice but the overall feel is cheap. Theres a small lip at the top that gives it a unfinished feeling. Also no rechargeable battery is a bummer as well.. Ps5 controller just looks way better and more of a future look to it.2. The system is bulky and looks like a fridge or just a big black box. The insides alot of work went into to develop a closed system with good cooling and a monster fan which is quiet and I appreciate that but the design is not good.Ps5 design is definitely better.Now why do I feel the series x is better then ps5. It all comes down to a few things.1. It's a bit more powerful2. Better online game library with gamepass.3. Better mobile play options with being able to play straight on your mobile phone or laptop or pc gives the xbox an advantage.If you always been a Playstation guy and all your friends are on there I can see sticking with ps5. But if you don't care about friends and want a bit better experience with ability to play your games even on the go then xbox is the moveI know this is a long review but I feel microsoft deserved it since they did a hell of a job with this system and I highly recommend it to anyone.If your a gamer and thinking of switching from pc to a new console then this would be the one I recommend.

  
"
1.0 out of 5 stars,"









  
  
    
  When I got it games would shut off either immediately or within the hour. I don't know what was wrong, I think it had a faulty power supply. I sent it back; took more than two weeks to get it back with expedited service that I paid an extra $10 for. I received the HDMI and AC power cord a week later in a different box, and I've yet to get the controller back; it's been 4 weeks.I could have purchased a PS5 and I wouldn't have had any of these problems. Stupid mistake.

  
"
5.0 out of 5 stars,"









  
  
    
  ...for Santa to let me buy this. First off, I understand that I got extremely lucky and happened to see a surprise shipment of these that Amazon got the first week of December. I was able to buy it at MSRP and received my series X the next day. And WOW. I love this console. The load times are non existent. I have a low latency 4k TV and the image is amazing! Even early Cyberpunk runs perfect with nearly no load times. I have been gaming since the first NES came out in the 80s and this is the most polished gaming console I've ever experienced. I know others may have issues and the war with PS5 will be brutal... but I am having a blast. So far there isn't a single thing I'd change. X Series and Gamepass is the best gaming value this year.

  
"
5.0 out of 5 stars,"









  
  
    
  I only had this for a few days and so far I love the system. It sits 6 feet away from me and I can not hear it. It is so quiet. I was originally was going to get the Xbox One X in 2018 to replace my Xbox One Launch version but so glad I held off as the XSX is able to run older games nearly at the intended locked framerate with rarely any drops like the Xbox One X. I pulled out some of my old favorite Original Xbox, Xbox 360 and Xbox one games and they all look better with a more stable framerate, a higher resolution with higher amounts of AF.All in all the system is lighting fast. Usually, with load screens, I would pull out my phone or walk away to do something else. With this system, you really cannot do that anymore due to the lightning-fast SSD. The Xbox dashboard is very snappy like modern high-end smartphones. I am very glad I didn't get the Xbox1x and got this. The controller is similar to the Xbox One controllers but it has a textured backside. The triggers also feel more solid.Lastly, I'm not one to do game subscriptions but GamePass is very enticing at $15 per month. I'm planning to sign up by the end of the month.All in all, it's a good value if you have a 4K display. Coming from a Steam PC gamer Im very impressed with the system.

  
"
1.0 out of 5 stars,"









  
  
    
  This console obviously needed further bug testing. After FINALLY getting my day 1 preorder, I was ecstatic. My mood quickly sullied when about a week after purchasing, for some reason the console would be set at 640x480 resolution, with no fix available. The ""solutions"" online do not work, and there's no official word from Microsoft. This is NOT a TV issue. My Xbox One, PS4 and Switch all work perfectly fine. It's just the Series X. It apparently doesn't matter what kind of TV you have, it affects a whole bunch of them. A total headache. You should wait for the Xbox Series XYZ to come out in a year - maybe that one will actually work as advertised. I'm going to try to go about getting a refund.

  
"
5.0 out of 5 stars,"









  
  
    
  The new Series X is absolutely amazing. It's super fast and responsive, makes everything look better on a 4k TV (even non-120Hz tv's), and was SUPER EASY TO SET UP via the Xbox app. Even progressing from the One X, it is very easy to see the difference. It's larger than I expected, but still fits nicely among the atmosphere. The quick resume feature lives up to its name, and I highly recommend it for anybody looking to upgrade their current Xbox experience.For those that were unfortunate enough to get screwed out of launch day pre-order, it is absolutely worth the struggle and frustration.Can't recommend enough! Just don't vape into it.

  
"
